datetime,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-07-16,1.0,1.079,1.079,1.0,27101239,2837864793.187,8.05,9.99,0.098,255.27
2024-07-17,1.187,1.187,1.187,1.156,6228004,737972417.56,2.87,10.01,0.108,58.66
2024-07-18,1.19,1.108,1.298,1.105,58866712,7111956278.435,16.26,-6.66,-0.079,554.46
2024-07-19,1.138,1.113,1.173,1.093,37646477,4226639910.946,7.22,0.45,0.005,354.59
2024-07-22,1.118,1.085,1.123,1.084,14385313,1593574984.85,3.5,-2.52,-0.028,135.49
2024-07-23,1.095,1.053,1.095,1.047,12303396,1312775608.531,4.42,-2.95,-0.032,115.89
2024-07-24,1.05,1.068,1.137,1.048,59304497,6472985810.362,8.45,1.42,0.015,558.59
2024-07-25,1.083,1.091,1.12,1.075,36520373,3998257550.143,4.21,2.15,0.023,343.98
2024-07-26,1.099,1.069,1.113,1.067,15388509,1661518204.911,4.22,-2.02,-0.022,144.94
2024-07-29,1.077,1.073,1.084,1.064,10624288,1139541742.247,1.87,0.37,0.004,100.07
2024-07-30,1.069,1.074,1.093,1.066,14367597,1550222911.039,2.52,0.09,0.001,135.33
2024-07-31,1.077,1.063,1.081,1.061,7559547,806168016.611,1.86,-1.02,-0.011,71.2
2024-08-01,1.065,1.063,1.071,1.06,6611625,704314390.547,1.03,0.0,0.0,62.27
2024-08-02,1.061,1.028,1.064,1.027,8701227,905799254.12,3.48,-3.29,-0.035,81.96
2024-08-05,1.006,0.95,1.009,0.947,10035244,980099838.05,6.03,-7.59,-0.078,94.52
2024-08-06,0.982,0.966,0.993,0.961,7209553,700287045.54,3.37,1.68,0.016,67.91
2024-08-07,0.97,0.971,0.979,0.965,4877445,474694344.5,1.45,0.52,0.005,45.94
2024-08-08,0.968,0.962,0.969,0.961,1883382,181521661.964,0.82,-0.93,-0.009,17.74
2024-08-09,0.972,0.967,0.974,0.966,2395152,232260542.532,0.83,0.52,0.005,22.56
2024-08-12,0.969,0.982,0.99,0.967,8966240,880269908.696,2.38,1.55,0.015,84.45
2024-08-13,0.984,0.992,1.008,0.982,12621126,1258716334.781,2.65,1.02,0.01,118.88
2024-08-14,1.001,0.989,1.006,0.987,4963630,493940723.551,1.92,-0.3,-0.003,46.75
2024-08-15,0.991,0.989,0.994,0.988,2986502,295792084.802,0.61,0.0,0.0,28.13
2024-08-16,0.997,0.999,1.003,0.993,5475987,546449629.094,1.01,1.01,0.01,51.58
2024-08-19,0.997,0.993,0.998,0.991,1933363,192234020.4,0.7,-0.6,-0.006,18.21
2024-08-20,0.995,0.996,0.999,0.994,2087301,208046126.084,0.5,0.3,0.003,19.66
2024-08-21,1.001,1.002,1.004,0.999,1971273,197462960.908,0.5,0.6,0.006,18.57
